Date,Close,High,Low,Open,Volume,Daily Return,SMA_7,SMA_21,Volatility
Ticker,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,^NSEI,^NSEI,^NSEI,^NSEI,,,,
2025-09-15,25069.19921875,25138.44921875,25048.75,25118.900390625,185400,,,,
2025-09-16,25239.099609375,25261.400390625,25070.44921875,25073.599609375,240100,0.006777256391098607,,,
2025-09-17,25330.25,25346.5,25275.349609375,25276.599609375,268900,0.003611475529465391,,,
2025-09-18,25423.599609375,25448.94921875,25329.75,25441.05078125,272200,0.0036853015416349333,,,
2025-09-19,25327.05078125,25428.75,25286.30078125,25410.19921875,380400,-0.0037976065391384095,,,
